Symbol,Price,Type,Strike,DTE,"Exp Date",Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
$IUXX,6669.64,Call,7750.00,59,03/15/19,1.30,1.88,2.45,1.50,2,18,0.11,15.50%,01/15/19
$IUXX,6669.64,Put,7300.00,3,01/18/19,624.00,633.8,643.60,635.97,6,86,0.07,59.56%,01/15/19
$IUXX,6669.64,Put,5550.00,3,01/18/19,0.00,0.28,0.55,0.57,2,43,0.05,0.00%,01/09/19
$IUXX,6669.64,Put,6150.00,59,03/15/19,85.70,87.15,88.60,91.31,1,14,0.07,27.92%,01/15/19
$IUXX,6669.64,Call,8500.00,3,01/18/19,0.00,0.03,0.05,0.05,16,27,0.59,79.01%,01/15/19
$IUXX,6669.64,Put,5000.00,59,03/15/19,7.30,8.05,8.80,7.90,3,552,0.01,37.03%,01/15/19
$IUXX,6669.64,Call,6000.00,31,02/15/19,691.90,698.5,705.10,606.81,4,62,0.06,24.76%,01/14/19
$IUXX,6669.64,Put,6625.00,59,03/15/19,207.70,209.55,211.40,212.60,19,315,0.06,23.45%,01/15/19
$IUXX,6669.64,Call,7600.00,31,02/15/19,0.05,0.38,0.70,0.48,1,63,0.02,16.35%,01/14/19
$IUXX,6669.64,Call,7575.00,59,03/15/19,3.60,4,4.40,3.50,2,15,0.13,15.09%,01/15/19
$IUXX,6669.64,Call,6125.00,59,03/15/19,626.50,630.7,634.90,582.19,6,103,0.06,23.67%,01/11/19
$IUXX,6669.64,Put,4400.00,31,02/15/19,0.10,0.23,0.35,0.30,25,118,0.21,48.05%,01/15/19
$IUXX,6669.64,Put,5475.00,59,03/15/19,21.70,22.65,23.60,22.70,8,14,0.57,33.20%,01/15/19
$IUXX,6669.64,Put,5050.00,3,01/18/19,0.00,0.03,0.05,0.10,2,75,0.03,0.00%,01/14/19
$IUXX,6669.64,Put,6975.00,59,03/15/19,382.10,385.75,389.40,444.00,3,3,1,26.45%,01/15/19
$IUXX,6669.64,Call,7525.00,59,03/15/19,4.70,5.35,6.00,4.90,2,52,0.04,15.22%,01/15/19
$IUXX,6669.64,Put,6530.00,3,01/18/19,9.60,10.8,12.00,51.00,2,8,0.25,22.94%,01/14/19
$IUXX,6669.64,Put,4400.00,3,01/18/19,0.00,0.28,0.55,0.05,4,79,0.05,0.00%,01/09/19
$IUXX,6669.64,Put,6075.00,31,02/15/19,34.80,36.15,37.50,62.59,1,27,0.04,29.47%,01/14/19
$IUXX,6669.64,Put,6150.00,3,01/18/19,0.00,0.5,1.00,0.97,11,70,0.16,39.83%,01/15/19
$IUXX,6669.64,Put,5900.00,3,01/18/19,0.00,0.3,0.60,0.50,37,295,0.13,0.00%,01/14/19
$IUXX,6669.64,Put,5250.00,59,03/15/19,13.10,13.95,14.80,23.60,8,13,0.62,35.03%,01/14/19
$IUXX,6669.64,Put,6125.00,31,02/15/19,39.70,41.15,42.60,73.70,2,119,0.02,28.87%,01/14/19
$IUXX,6669.64,Call,7700.00,31,02/15/19,0.00,0.2,0.40,0.68,9,14,0.64,0.00%,01/10/19
$IUXX,6669.64,Call,7075.00,3,01/18/19,0.35,0.48,0.60,0.50,7,126,0.06,27.30%,01/15/19
$IUXX,6669.64,Call,6590.00,3,01/18/19,93.30,97.35,101.40,75.50,2,16,0.13,19.04%,01/11/19
$IUXX,6669.64,Put,5125.00,59,03/15/19,9.80,10.6,11.40,18.30,8,5,1.6,36.07%,01/09/19
$IUXX,6669.64,Call,6800.00,3,01/18/19,5.60,6.4,7.20,5.10,42,605,0.07,16.76%,01/15/19
$IUXX,6669.64,Call,6680.00,3,01/18/19,38.60,39.65,40.70,32.40,2,2,1,18.17%,01/10/19
$IUXX,6669.64,Call,7050.00,59,03/15/19,62.80,64,65.20,64.80,19,131,0.15,17.28%,01/15/19
$IUXX,6669.64,Call,6725.00,3,01/18/19,20.60,21.9,23.20,23.00,10,87,0.11,18.50%,01/15/19
$IUXX,6669.64,Put,5340.00,3,01/18/19,0.00,0.28,0.55,0.20,4,8,0.5,0.00%,01/11/19
$IUXX,6669.64,Put,5580.00,3,01/18/19,0.00,0.28,0.55,0.10,2,10,0.2,0.00%,01/11/19
$IUXX,6669.64,Call,6550.00,31,02/15/19,240.30,244.25,248.20,239.10,8,49,0.16,21.07%,01/15/19
$IUXX,6669.64,Call,7125.00,31,02/15/19,11.90,12.75,13.60,14.15,8,13,0.62,16.41%,01/15/19
$IUXX,6669.64,Put,6290.00,3,01/18/19,0.45,1.08,1.70,1.28,4,6,0.67,31.31%,01/15/19
$IUXX,6669.64,Put,6450.00,3,01/18/19,3.80,4.75,5.70,4.45,23,224,0.1,24.97%,01/15/19
$IUXX,6669.64,Call,6700.00,3,01/18/19,29.90,31.1,32.30,33.90,111,243,0.46,19.38%,01/15/19
$IUXX,6669.64,Call,7675.00,59,03/15/19,2.10,2.65,3.20,2.15,5,21,0.24,15.32%,01/15/19
$IUXX,6669.64,Put,6250.00,59,03/15/19,104.10,105.5,106.90,143.00,2,578,0,26.51%,01/14/19
$IUXX,6669.64,Put,5370.00,3,01/18/19,0.00,0.28,0.55,0.38,11,31,0.35,0.00%,01/09/19
$IUXX,6669.64,Put,6080.00,3,01/18/19,0.00,0.35,0.70,0.46,1,34,0.03,40.81%,01/15/19
$IUXX,6669.64,Put,6725.00,59,03/15/19,247.90,250.35,252.80,324.20,2,2,1,22.32%,01/10/19
$IUXX,6669.64,Call,7700.00,3,01/18/19,0.00,0.28,0.55,0.28,10,235,0.04,0.00%,01/09/19
$IUXX,6669.64,Put,6725.00,31,02/15/19,184.70,188.7,192.70,210.08,4,4,1,24.51%,01/15/19
$IUXX,6669.64,Put,6570.00,3,01/18/19,15.60,17,18.40,20.21,2,49,0.04,23.87%,01/15/19
$IUXX,6669.64,Call,7700.00,59,03/15/19,1.80,2.35,2.90,1.85,2,426,0,15.32%,01/15/19
$IUXX,6669.64,Call,6175.00,31,02/15/19,534.40,541,547.60,521.55,6,15,0.4,24.48%,01/10/19
$IUXX,6669.64,Call,7900.00,31,02/15/19,0.00,0.15,0.30,0.18,15,32,0.47,19.33%,01/15/19
$IUXX,6669.64,Put,6550.00,59,03/15/19,181.40,183.1,184.80,184.00,21,88,0.24,23.91%,01/15/19
$IUXX,6669.64,Call,7225.00,3,01/18/19,0.40,0.48,0.55,0.40,1,117,0.01,34.77%,01/15/19
$IUXX,6669.64,Call,6275.00,31,02/15/19,450.00,455.9,461.80,445.60,6,13,0.46,21.92%,01/15/19
$IUXX,6669.64,Put,5650.00,59,03/15/19,31.70,32.45,33.20,31.66,4,9,0.44,31.48%,01/15/19
$IUXX,6669.64,Call,7350.00,3,01/18/19,0.00,0.28,0.55,0.20,5,120,0.04,38.47%,01/15/19
$IUXX,6669.64,Call,7650.00,59,03/15/19,2.40,2.95,3.50,2.45,22,44,0.5,15.28%,01/15/19
